Character,ID,File,Context,English,PhaseOne,PhaseTwo
"Dave","0","Room- Home","OnEnterRoomAfterFade","Oh no! My basement is flooded!","Gosh Durnit! My basement flooded again!",""
"Dave","41","Room- Home","OnEnterRoomAfterFade","Good thing I have my trusty bucket!","I think I have a bucket ?round here somewhere?","If you were treating heart failure, you might consider using a Diuretic! This would improve urine output"
"Narr","30","Room- Home","OnEnterRoomAfterFade","Your bucket is over on the shelf. Click on it to add it to your inventory.","","The diuretic is over on the shelf. Click on it to add it to your inventory."
"Dave","2","Room- Home","OnLookAtHotspotDoor"," It's a door to the outside.","",""
"Dave","44","Room- Home","OnUseInvPropWater","Oh man... this is going to take forever.","",""
"Dave","45","Room- Home","OnUseInvPropWater","Maybe there's something at Doc's hardware store that can help.","",""
"Narr","28","Room- Home","OnUseInvPropWater","Click on a space in the room to walk to it.","",""
"Dave","6","Room- Home","OnUseInvPropWater"," This bucket ain't gonna cut it...","","Looks like the patient will need more than a diuretic"
"Narr","2","Room- Home","OnUseInvPropWater","Congratulations! The water level has decreased. However, it is not enough...","",""
"Dave","4","Room- Home","OnUseInvPropWater","This is too hard! I think the handle is too short and the diameter of the hose is too small, I need to go back to the hardware store.","","The stroke volume isn't enough! What about afterload??"
"Dave","5","Room- Home","OnLookAtPropWater","That's a lot of water!","",""
"Narr","36","Room- Home","UpdateBlocking","Walk all the way to the right and click the door to leave your basement.","",""
"Dave","46","Room- Home","UpdateBlocking"," Finally! I got that dang water outta my dang basement!",,
"Dave","47","Room- Home","UpdateBlocking"," I sure hope that never happens again!",,
"Narr","2","Room- Home","OnInteractPropPump","Congratulations! The water level has decreased. However, it is not enough...","",""
"Dave","4","Room- Home","OnInteractPropPump","This is too hard! I think the handle is too short and the diameter of the hose is too small, I need to go back to the hardware store.","","The stroke volume isn't enough! What about afterload??"
"Narr","3","Room- Home","OnInteractPropPump","You've chosen the correct parts for the pump and the water level has decreased.","","By using the Large Handle, you have increased the stroke volume of the pump (heart)"
"Dave","7","Room- Home","OnInteractPropPump","Still not enough... I could use some extra hands.","","One of the ways to improve heart failure is to recruit more muscle with medication or other methods"
"Dave","8","Room- Home","OnInteractPropPump"," This isn't any better. I should try different parts.","","Physiologically speaking, what else can you do to improve heart function?"
"Tony","0","Room- Home","OnInteractCharacterTony","Here goes nothing!","",""
"Narr","4","Room- Home","OnInteractCharacterTony"," The recruited muscle has helped bring the water level down.","","Having your friends help in the basement is medically like recruitment of more heart muscle (improving pumping efficiency)"
"Tony","4","Room- Home","OnInteractCharacterTony"," Phew... I'm wiped out. Got any grub?",,
"Narr","5","Room- Home","OnInteractCharacterNeighbor2","Jim helps get some more water out by scooping it out the window with his bucket. Equivalent to using a diuretic.","",""
"Narr","6","Room- Home","OnInteractCharacterNeighbor2"," 30 minutes later...","",""
"Neighbor2","0","Room- Home","OnInteractCharacterNeighbor2","Phew, I'm exhausted","",""
"Dave","9","Room- Home","OnInteractCharacterNeighbor2"," Me too. We could use some extra muscle.","",""
"Narr","34","Room- Home","OnInteractPropBucket","Bucket added to  your toolbox.","",""
